1.4: Copy to Dataset Results,,,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Baseline (T0S1R1) (mV),Antipeak Amp (T0S1R1) (mV),Time of Antipeak (Trace) (T0S1R1) (ms)
57468-T305-CA1-0041.abf,4,21.0211,-62.1762,-1.36136,485.3
57590-T259-CA1-0015.abf,4,21.0211,-60.9497,-1.17391,482.5
57590-T260-SUB-0029.abf,4,21.0211,-61.0064,-0.0287586,1371.6
57590-T261-CA1-0058.abf,4,21.0211,-60.9101,-4.62129,463.9
57930-T185-CA1-0005.abf,4,21.0211,-61.0802,-0.38222,440.5
57930-T186-SUB-0016.abf,4,21.0211,-60.6087,-0.0195914,914.9
57930-T187-CA1-0026.abf,4,21.0211,-61.0674,-0.639156,1381.6
57930-T188-SUB-0036.abf,4,21.0211,-61.1556,-2.27014,489.7
57930-T189-SUB-0046.abf,4,21.0211,-61.2736,-3.77968,457.7
57931-T190-CA1-0005.abf,4,21.0211,-62.0254,-0.108344,444.4
57931-T192-SUB-0015.abf,4,21.0211,-60.9357,-0.994591,495.5
57931-T193-CA1-0049.abf,4,21.0211,-62.1635,-2.39132,431.2
57931-T194-SUB-0040.abf,4,21.0211,-62.0797,-0.603377,471.8
57934-T196-SUB-0005.abf,4,21.0211,-60.839,-2.62734,433.2
57934-T197-CA1-0015.abf,4,21.0211,-60.8875,-1.3582,451.6
58512-T316-SUB-0017.abf,4,21.0211,-59.7624,-1.03877,507.6
58512-T319-CA1-0027.abf,4,21.0211,-60.6174,-0.519481,452.6
58512-T321-CA1-0038.abf,4,21.0211,-60.1184,-1.97472,452.1
58516-T328-SUB-0006.abf,4,21.0211,-60.2505,-2.99209,520.1
58516-T329-CA1-0023.abf,4,21.0211,-61.0068,-3.92443,449.8
58519-T330-SUB-0005.abf,4,21.0211,-61.0576,-3.57861,479.1
58519-T332-CA1-0018.abf,4,21.0211,-58.8053,-1.02948,458.6
58519-T334-CA1-0027.abf,4,21.0211,-61.5218,-1.88357,438.2
58521-T337-SUB-0005.abf,4,21.0211,-59.7735,-5.3103,447.8
58521-T345-CA1-0015.abf,4,21.0211,-59.9619,-1.99892,451.9
58521-T346-SUB-0025.abf,4,21.0211,-60.5655,-2.8297,452.7
58521-T347-SUB-0035.abf,4,21.0211,-60.853,-0.517808,1036.2
58521-T348-CA1-0045.abf,4,21.0211,-60.5825,0.208599,1343.2
